1,	1,	1,	45,	42,
1,	1,	1,	37,	34,
1,	1,	1,	38,	34,
1,	1,	1,	36,	33,
1,	1,	1,	35,	35,
1,	1,	1,	20,	20,
1,	1,	1,	29,	29,
1,	1,	1,	32,	29,
1,	1,	1,	40,	36,
4,	1,	1,	36,	32,
4,	1,	1,	38,	38,
4,	1,	1,	38,	35,
4,	1,	1,	35,	31,
8,	1,	1,	47,	47,
8,	1,	1,	52,	52,
2,	1,	1,	31,	30,
7,	1,	1,	32,	27,
7,	1,	1,	31,	26,
7,	1,	1,	35,	28,
5,	1,	1,	48,	33,
5,	1,	1,	34,	31,
5,	1,	1,	35,	32,
9,	2,	1,	50,	50,
3,	2,	1,	53,	53,
1,	2,	1,	52,	47,
1,	2,	1,	50,	40,
1,	2,	1,	61,	61,
1,	2,	1,	35,	35,
1,	2,	1,	48,	43,
1,	2,	1,	51,	46,
1,	2,	1,	72,	66,
1,	2,	1,	52,	47,
1,	2,	1,	100,	95,
7,	2,	1,	60,	57,
5,	2,	1,	42,	42,
5,	2,	1,	60,	55,
5,	2,	1,	50,	43,
5,	2,	1,	53,	42,
6,	2,	1,	42,	42,
8,	1,	1,	35,	32,
1,	1,	1,	29,	29,
1,	2,	1,	59,	59,
1,	1,	1,	51,	51,
1,	1,	1,	53,	53,
1,	1,	1,	42,	42,
1,	2,	1,	50,	46,
1,	2,	1,	57,	50,
1,	1,	1,	31,	27,
1,	1,	1,	36,	36,
1,	2,	1,	75,	34,
4,	2,	1,	71,	71,
4,	2,	1,	77,	77,
4,	2,	1,	62,	62,
4,	2,	1,	62,	62,
4,	2,	1,	50,	47,
4,	1,	1,	34,	32,
2,	1,	1,	23,	22,
2,	1,	1,	51,	47,
7,	2,	1,	38,	38,
5,	2,	1,	58,	55,
5,	2,	1,	46,	40,
6,	2,	1,	51,	45,
6,	2,	1,	45,	43,
1,	1,	1,	56,	50,
1,	1,	1,	36,	33,
1,	1,	1,	31,	31,
1,	1,	1,	40,	35,
1,	1,	1,	40,	36,
4,	1,	1,	39,	35,
4,	1,	1,	50,	46,
4,	1,	1,	46,	42,
4,	1,	1,	48,	44,
4,	1,	1,	37,	35,
4,	1,	1,	34,	27,
8,	1,	1,	40,	40,
8,	1,	1,	42,	30,
7,	1,	1,	56,	50,
7,	1,	1,	39,	35,
9,	2,	1,	100,	60,
1,	2,	1,	55,	50,
1,	2,	1,	50,	42,
4,	2,	1,	50,	45,
4,	2,	1,	37,	34,
8,	2,	1,	29,	29,
8,	2,	1,	54,	54,
5,	2,	1,	41,	32,
5,	2,	1,	53,	48,
5,	2,	1,	45,	42,
9,	1,	1,	44,	38,
1,	1,	1,	21,	21,
1,	1,	1,	21,	21,
1,	1,	1,	25,	25,
1,	1,	1,	25,	25,
4,	1,	1,	42,	37,
4,	1,	1,	36,	32,
9,	2,	1,	32,	32,
1,	2,	1,	38,	38,
4,	2,	1,	50,	50,
5,	2,	1,	46,	42,
4,	1,	1,	35,	32,
8,	1,	1,	29,	29,
1,	2,	1,	65,	57,
1,	2,	1,	50,	42,
1,	2,	1,	39,	39,
1,	2,	1,	40,	34,
1,	2,	1,	47,	47,
4,	2,	1,	56,	48,
4,	2,	1,	46,	39,
1,	1,	1,	38,	34,
1,	1,	1,	44,	34,
1,	1,	1,	40,	34,
1,	1,	1,	52,	45,
1,	1,	1,	40,	34,
4,	1,	1,	46,	39,
4,	1,	1,	31,	29,
8,	1,	1,	45,	42,
1,	1,	1,	35,	30,
1,	2,	1,	51,	46,
1,	1,	1,	30,	30,
2,	1,	1,	34,	34,
3,	2,	1,	83,	42,
1,	2,	1,	31,	30,
1,	2,	1,	45,	44,
1,	2,	1,	52,	49,
1,	2,	1,	80,	59,
4,	2,	1,	66,	41,
4,	2,	1,	42,	42,
5,	2,	1,	87,	44,
6,	1,	1,	36,	32,
8,	2,	1,	44,	42,
1,	1,	1,	32,	30,
4,	1,	1,	37,	42,
4,	1,	1,	48,	46,
9,	2,	1,	29,	29,
9,	2,	1,	48,	48,
1,	2,	1,	44,	41,
1,	2,	1,	52,	33,
5,	2,	1,	57,	43,
1,	1,	1,	39,	35,
1,	1,	1,	40,	36,
2,	1,	1,	35,	33,
9,	2,	2,	78,	75,
8,	2,	2,	130,	65,
9,	2,	2,	60,	60,
3,	2,	2,	65,	52,
1,	1,	1,	28,	28,
1,	1,	1,	27,	27,
8,	1,	1,	36,	34,
8,	1,	1,	37,	37,
1,	2,	1,	52,	46,
1,	2,	1,	59,	59,
1,	2,	1,	56,	52,
4,	2,	1,	67,	67,
8,	2,	1,	43,	38,
1,	2,	1,	41,	37,
6,	1,	1,	52,	52,
9,	1,	1,	33,	31,
1,	1,	1,	35,	32,
1,	1,	1,	42,	37,
1,	1,	1,	46,	42,
1,	1,	1,	34,	34,
4,	1,	1,	27,	24,
8,	1,	1,	40,	40,
2,	1,	1,	38,	38,
5,	1,	1,	33,	29,
1,	2,	1,	50,	45,
9,	2,	2,	53,	44,
9,	2,	1,	49,	41,
9,	2,	1,	52,	50,
1,	2,	1,	60,	40,
1,	2,	1,	55,	52,
1,	2,	1,	46,	42,
1,	2,	2,	52,	45,
1,	2,	1,	47,	40,
1,	2,	1,	45,	40,
1,	2,	1,	50,	40,
1,	2,	1,	59,	54,
1,	2,	1,	44,	41,
1,	2,	1,	37,	37,
1,	1,	1,	40,	36,
1,	2,	1,	78,	42,
4,	2,	2,	65,	54,
4,	2,	1,	52,	50,
8,	1,	1,	32,	32,
8,	2,	1,	56,	56,
8,	2,	1,	37,	35,
2,	2,	1,	76,	38,
7,	1,	1,	43,	36,
5,	2,	1,	46,	40,
6,	2,	1,	52,	49,
6,	2,	1,	45,	39,
3,	2,	1,	49,	43,
1,	1,	1,	43,	36,
1,	1,	1,	41,	34,
1,	1,	1,	28,	28,
1,	1,	1,	38,	34,
8,	1,	1,	42,	42,
5,	1,	1,	37,	32,
6,	1,	1,	34,	31,
1,	2,	1,	52,	47,
1,	2,	1,	40,	40,
8,	2,	1,	65,	64,
6,	2,	1,	52,	44,
9,	1,	1,	42,	39,
1,	1,	1,	48,	39,
8,	1,	1,	45,	45,
5,	2,	1,	51,	51,
1,	2,	1,	56,	50,
1,	2,	2,	52,	42,
1,	2,	2,	70,	62,
1,	2,	1,	50,	50,
1,	2,	1,	85,	66,
1,	2,	1,	85,	44,
5,	2,	1,	50,	45,
1,	2,	1,	42,	35,
1,	1,	1,	41,	36,
1,	1,	3,	12,	125,
1,	1,	1,	33,	30,
1,	1,	1,	38,	38,
1,	1,	1,	32,	32,
4,	1,	2,	52,	43,
4,	1,	1,	36,	23,
4,	1,	1,	34,	34,
8,	1,	1,	17,	17,
7,	1,	1,	35,	35,
7,	1,	1,	32,	27,
5,	1,	1,	31,	27,
9,	2,	1,	155,	76,
9,	2,	2,	51,	48,
9,	2,	1,	40,	31,
3,	2,	1,	155,	76,
1,	2,	1,	88,	82,
1,	2,	1,	61,	51,
1,	2,	1,	44,	44,
1,	2,	2,	229,	142,
1,	2,	1,	50,	50,
1,	2,	1,	47,	43,
1,	2,	2,	90,	77,
1,	2,	1,	47,	43,
1,	2,	1,	127,	127,
4,	2,	1,	38,	38,
4,	2,	1,	155,	76,
4,	2,	1,	41,	38,
4,	2,	1,	46,	46,
4,	2,	1,	59,	55,
4,	2,	1,	63,	59,
4,	2,	2,	79,	74,
4,	2,	1,	41,	41,
4,	2,	1,	50,	45,
4,	2,	1,	62,	56,
8,	2,	1,	40,	40,
8,	2,	1,	48,	42,
2,	2,	1,	49,	42,
2,	2,	1,	155,	76,
7,	2,	1,	46,	41,
5,	2,	1,	46,	38,
6,	2,	1,	52,	52,
9,	1,	1,	38,	35,
9,	1,	1,	49,	35,
1,	1,	1,	36,	32,
4,	1,	1,	43,	43,
2,	1,	1,	35,	30,
9,	2,	1,	48,	42,
9,	2,	1,	45,	41,
1,	2,	1,	57,	50,
1,	2,	2,	68,	68,
1,	2,	2,	46,	42,
1,	2,	1,	68,	68,
4,	2,	1,	50,	48,
4,	2,	1,	32,	32,
4,	2,	1,	42,	42,
4,	2,	1,	55,	50,
8,	2,	1,	43,	41,
2,	2,	1,	60,	40,
7,	2,	1,	60,	54,
9,	2,	1,	83,	80,
9,	1,	1,	42,	40,
1,	2,	3,	99,	81,
4,	1,	2,	51,	51,
8,	1,	1,	30,	30,
8,	1,	1,	18,	18,
2,	2,	1,	85,	85,
2,	1,	1,	114,	71,
7,	1,	1,	51,	46,
5,	1,	1,	41,	37,
5,	2,	1,	57,	54,
5,	2,	2,	73,	55,
5,	2,	2,	58,	55,
5,	2,	2,	51,	51,
5,	1,	2,	59,	42,
6,	2,	1,	64,	58,
9,	2,	1,	92,	45,
9,	2,	1,	54,	45,
9,	2,	2,	55,	55,
9,	2,	1,	36,	28,
9,	2,	1,	51,	48,
1,	2,	1,	106,	106,
1,	2,	1,	54,	54,
1,	2,	1,	45,	43,
1,	2,	1,	55,	55,
1,	1,	1,	34,	30,
1,	2,	1,	41,	40,
1,	2,	1,	33,	31,
1,	2,	1,	60,	50,
1,	2,	1,	49,	43,
1,	2,	1,	42,	42,
1,	2,	2,	60,	54,
4,	2,	1,	39,	39,
4,	2,	1,	51,	48,
4,	2,	1,	38,	38,
8,	2,	2,	69,	69,
8,	2,	1,	51,	51,
8,	2,	2,	61,	61,
8,	1,	1,	28,	28,
2,	2,	1,	51,	48,
